layer,level,class,id,plot_id,percentage_inside,Site,cover,clumpy,pd,pland
1,class,0,NA,7,100.0311061,vhu,coral,0.98517455,18.99409167,45.74750021
1,class,0,NA,8,100.0311061,vhu,coral,0.988102059,14.99533553,26.45044839
1,class,0,NA,9,99.91145171,vhu,coral,0.986816452,21.01861162,28.56653161
1,class,0,NA,10,100.0311061,vhu,coral,0.987304212,19.99378071,30.51342291
1,class,0,NA,11,100.0311061,vhu,coral,0.988350655,14.99533553,32.82998596
1,class,0,NA,12,99.91145171,vhu,coral,0.986967689,21.01861162,37.83584926
1,class,0,NA,13,100.0311061,vhu,coral,0.986935734,20.99346974,31.9776237
1,class,0,NA,14,100.0311061,vhu,coral,0.99007604,8.997201318,13.82173452
1,class,0,NA,15,99.91145171,vhu,coral,0.988286103,17.01506655,35.61318082
1,class,0,NA,16,99.91145171,vhu,coral,0.988826115,18.01595282,32.80963821
1,class,0,NA,17,100.0311061,vhu,coral,0.989264458,14.99533553,27.14050368
1,class,0,NA,18,100.0311061,vhu,coral,0.989658254,12.99595746,28.96312638
1,class,0,NA,19,99.91145171,vhu,coral,0.988952989,15.01329402,30.11610312
1,class,0,NA,20,100.0311061,vhu,coral,0.988865055,14.99533553,33.7746039
1,class,0,NA,21,100.0311061,vhu,coral,0.987456283,18.99409167,25.98215053
1,class,0,NA,22,99.91145171,vhu,coral,0.986810052,19.01683909,37.51385851
1,class,0,NA,23,100.0311061,vhu,coral,0.982703648,24.99222588,45.71512477
1,class,0,NA,24,100.0311061,vhu,coral,0.986514961,16.9947136,21.46950119
1,class,0,NA,25,99.91145171,vhu,coral,0.985521263,23.02038416,35.25146115
1,class,0,NA,26,99.91145171,vhu,coral,0.984213962,26.02304296,39.52755567
1,class,0,NA,27,100.0311061,vhu,coral,0.990855179,9.996890353,27.09165401
1,class,0,NA,28,100.0311061,vhu,coral,0.989645677,13.99564649,25.93115205
1,class,0,NA,29,99.91145171,vhu,coral,0.988706995,14.01240775,31.03101581
1,class,0,NA,30,100.0311061,vhu,coral,0.990779407,10.99657939,21.92547919
1,class,0,NA,31,100.0311061,vhu,coral,0.986203748,16.9947136,41.57808784
1,class,0,NA,32,99.91145171,vhu,coral,0.988545431,14.01240775,30.62096167
1,class,0,NA,33,100.0311061,vhu,coral,0.984323068,25.99191492,40.83574478
1,class,0,NA,34,100.0311061,vhu,coral,0.986445785,20.99346974,40.54264676
1,class,0,NA,35,99.91145171,vhu,coral,0.987136738,20.01772535,34.44469146
1,class,0,NA,36,99.91145171,vhu,coral,0.989407756,16.01418028,25.40083904
1,class,0,NA,37,100.0311061,vhu,coral,0.990075994,12.99595746,22.72569693
1,class,0,NA,38,100.0311061,vhu,coral,0.988611668,12.99595746,18.71486692
1,class,0,NA,39,99.91145171,vhu,coral,0.990540935,7.006203874,11.39474345
1,class,0,NA,40,100.0311061,vhu,coral,0.9920654,8.997201318,23.25287225
1,class,0,NA,41,100.0311061,vhu,coral,0.988196552,15.99502457,33.10890181
1,class,0,NA,42,99.91145171,vhu,coral,0.988572528,15.01329402,23.86216788
1,class,0,NA,43,100.0311061,vhu,coral,0.988144835,16.9947136,32.52943873
1,class,0,NA,44,100.0311061,vhu,coral,0.985739977,21.99315878,32.0704524
1,class,0,NA,45,99.91145171,vhu,coral,0.984216666,26.02304296,42.01427086
1,class,0,NA,46,99.91145171,vhu,coral,0.987394222,20.01772535,26.71232386
1,class,0,NA,47,100.0311061,vhu,coral,0.989692784,12.99595746,33.51846546
1,class,0,NA,48,100.0311061,vhu,coral,0.994007954,3.998756141,2.281179268
1,class,0,NA,49,99.91145171,vhu,coral,0.989791765,11.00974894,24.89282513
1,class,0,NA,50,100.0311061,vhu,coral,0.988779072,14.99533553,28.15918402
1,class,0,NA,51,100.0311061,vhu,coral,0.987982269,16.9947136,29.27226886
1,class,0,NA,52,99.91145171,vhu,coral,0.989201536,15.01329402,25.77489333
1,class,0,NA,53,100.0311061,vhu,coral,0.985604085,19.99378071,31.02870813
1,class,0,NA,54,100.0311061,vhu,coral,0.985921536,20.99346974,45.83030112
1,class,0,NA,55,99.91145171,vhu,coral,0.984927908,25.02215669,39.47678296
1,class,0,NA,56,99.91145171,vhu,coral,0.984899295,24.02127042,46.32794292
1,class,0,NA,57,100.0311061,vhu,coral,0.989754638,12.99595746,40.63475919
1,class,0,NA,58,100.0311061,vhu,coral,0.987695033,10.99657939,23.84551471
1,class,0,NA,59,99.91145171,vhu,coral,0.990854494,11.00974894,15.20283983
1,class,0,NA,60,100.0311061,vhu,coral,0.988055202,14.99533553,19.99928373
1,class,0,NA,61,100.0311061,vhu,coral,0.988518573,15.99502457,31.342578
1,class,0,NA,62,99.91145171,vhu,coral,0.988386545,16.01418028,34.59873068
1,class,0,NA,63,100.0311061,vhu,coral,0.987320554,15.99502457,22.11213936
1,class,0,NA,64,100.0311061,vhu,coral,0.985218589,22.99284781,36.3647824
1,class,0,NA,65,99.91145171,vhu,coral,0.984613294,22.01949789,38.73670623
1,class,0,NA,66,99.91145171,vhu,coral,0.986902415,21.01861162,30.53318513
1,class,0,NA,67,100.0311061,vhu,coral,0.989969423,12.99595746,31.11337134
1,class,0,NA,68,100.0311061,vhu,coral,0.987217323,15.99502457,21.95413002
