plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
63,255,vhu,bare,class,1,NA,100.0311061,36.58482079,NA
64,1,ana,bare,class,NA,NA,NA,0,NA
64,1,man,bare,class,NA,NA,NA,0,NA
64,255,vhu,bare,class,1,NA,100.0311061,34.86304902,NA
65,1,ana,bare,class,NA,NA,NA,0,NA
65,1,man,bare,class,NA,NA,NA,0,NA
65,255,vhu,bare,class,1,NA,100.0311061,20.64679254,NA
66,1,ana,bare,class,NA,NA,NA,0,NA
66,1,man,bare,class,NA,NA,NA,0,NA
66,255,vhu,bare,class,1,NA,99.91145171,34.52386245,NA
67,1,ana,bare,class,NA,NA,NA,0,NA
67,1,man,bare,class,NA,NA,NA,0,NA
67,255,vhu,bare,class,1,NA,100.0311061,46.14087614,NA
68,1,ana,bare,class,NA,NA,NA,0,NA
68,1,man,bare,class,NA,NA,NA,0,NA
68,255,vhu,bare,class,1,NA,100.0311061,75.32776552,NA
69,1,ana,bare,class,1,NA,99.99401546,2.039342441,NA
69,1,man,bare,class,NA,NA,NA,0,NA
69,255,vhu,bare,class,1,NA,99.91145171,68.97170928,NA
70,1,ana,bare,class,1,NA,100.094512,0.297168574,NA
70,1,man,bare,class,NA,NA,NA,0,NA
70,255,vhu,bare,class,1,NA,100.0311061,52.64633413,NA
71,1,ana,bare,class,NA,NA,NA,0,NA
71,1,man,bare,class,NA,NA,NA,0,NA
71,255,vhu,bare,class,1,NA,100.0311061,34.07672693,NA
72,1,ana,bare,class,NA,NA,NA,0,NA
72,1,man,bare,class,NA,NA,NA,0,NA
72,255,vhu,bare,class,1,NA,99.91145171,3.218760085,NA
73,1,ana,bare,class,NA,NA,NA,0,NA
73,1,man,bare,class,NA,NA,NA,0,NA
73,255,vhu,bare,class,1,NA,100.0311061,16.8294989,NA
74,1,ana,bare,class,NA,NA,NA,0,NA
74,1,man,bare,class,NA,NA,NA,0,NA
74,255,vhu,bare,class,1,NA,100.0311061,36.02885139,NA
75,1,ana,bare,class,NA,NA,NA,0,NA
75,1,man,bare,class,NA,NA,NA,0,NA
75,255,vhu,bare,class,1,NA,100.0311061,10.61771194,NA
76,1,ana,bare,class,NA,NA,NA,0,NA
76,1,man,bare,class,NA,NA,NA,0,NA
76,255,vhu,bare,class,1,NA,99.91145171,13.52561942,NA
77,1,ana,bare,class,NA,NA,NA,0,NA
77,1,man,bare,class,NA,NA,NA,0,NA
77,255,vhu,bare,class,1,NA,100.0311061,57.94301349,NA
78,1,ana,bare,class,NA,NA,NA,0,NA
78,1,man,bare,class,NA,NA,NA,0,NA
78,255,vhu,bare,class,1,NA,100.0311061,55.67415408,NA
79,1,ana,bare,class,NA,NA,NA,0,NA
79,1,man,bare,class,NA,NA,NA,0,NA
79,255,vhu,bare,class,1,NA,99.91145171,62.89217971,NA
80,1,ana,bare,class,NA,NA,NA,0,NA
80,1,man,bare,class,NA,NA,NA,0,NA
80,255,vhu,bare,class,1,NA,100.0311061,77.21198751,NA
81,1,ana,bare,class,NA,NA,NA,0,NA
81,1,man,bare,class,NA,NA,NA,0,NA
81,255,vhu,bare,class,1,NA,100.0311061,35.19468241,NA
82,1,ana,bare,class,NA,NA,NA,0,NA
82,1,man,bare,class,NA,NA,NA,0,NA
82,255,vhu,bare,class,1,NA,99.91145171,24.73032378,NA
83,1,ana,bare,class,NA,NA,NA,0,NA
83,1,man,bare,class,NA,NA,NA,0,NA
83,255,vhu,bare,class,1,NA,100.0311061,20.50711973,NA
84,1,ana,bare,class,NA,NA,NA,0,NA
84,1,man,bare,class,NA,NA,NA,0,NA
84,255,vhu,bare,class,1,NA,100.0311061,34.89227287,NA
85,1,ana,bare,class,NA,NA,NA,0,NA
85,1,man,bare,class,NA,NA,NA,0,NA
85,255,vhu,bare,class,1,NA,100.0311061,0.205999484,NA
86,1,ana,bare,class,NA,NA,NA,0,NA
86,1,man,bare,class,NA,NA,NA,0,NA
86,255,vhu,bare,class,1,NA,99.91145171,38.80354262,NA
87,1,ana,bare,class,NA,NA,NA,0,NA
87,1,man,bare,class,NA,NA,NA,0,NA
87,255,vhu,bare,class,1,NA,100.0311061,54.50691918,NA
88,1,ana,bare,class,NA,NA,NA,0,NA
88,1,man,bare,class,NA,NA,NA,0,NA
88,255,vhu,bare,class,1,NA,100.0311061,45.02764805,NA
89,1,ana,bare,class,NA,NA,NA,0,NA
89,1,man,bare,class,NA,NA,NA,0,NA
89,255,vhu,bare,class,1,NA,99.91145171,56.39054824,NA
90,1,ana,bare,class,NA,NA,NA,0,NA
90,1,man,bare,class,NA,NA,NA,0,NA
90,255,vhu,bare,class,1,NA,100.0311061,76.98822451,NA
91,1,ana,bare,class,1,NA,100.094512,0.460434704,NA
91,1,man,bare,class,NA,NA,NA,0,NA
91,255,vhu,bare,class,1,NA,100.0311061,25.62888577,NA
92,1,ana,bare,class,1,NA,99.99401546,6.558218227,NA
92,1,man,bare,class,NA,NA,NA,0,NA
92,255,vhu,bare,class,1,NA,99.91145171,49.28581161,NA
93,1,ana,bare,class,1,NA,100.094512,0.228552401,NA
93,1,man,bare,class,NA,NA,NA,0,NA
93,255,vhu,bare,class,1,NA,100.0311061,44.38500988,NA
94,1,ana,bare,class,NA,NA,NA,0,NA
94,1,man,bare,class,NA,NA,NA,0,NA
94,255,vhu,bare,class,1,NA,100.0311061,51.73122654,NA
95,1,ana,bare,class,NA,NA,NA,0,NA
95,1,man,bare,class,NA,NA,NA,0,NA
95,255,vhu,bare,class,1,NA,100.0311061,0.169039911,NA
96,1,ana,bare,class,NA,NA,NA,0,NA
96,1,man,bare,class,NA,NA,NA,0,NA
96,255,vhu,bare,class,1,NA,99.91145171,18.30241314,NA
97,1,ana,bare,class,NA,NA,NA,0,NA
97,1,man,bare,class,NA,NA,NA,0,NA
97,255,vhu,bare,class,1,NA,100.0311061,39.55849067,NA
98,1,ana,bare,class,NA,NA,NA,0,NA
98,1,man,bare,class,NA,NA,NA,0,NA
98,255,vhu,bare,class,1,NA,100.0311061,36.94223992,NA
99,1,ana,bare,class,1,NA,99.99401546,10.11782531,NA
99,1,man,bare,class,NA,NA,NA,0,NA
99,255,vhu,bare,class,1,NA,99.91145171,70.0970275,NA
100,1,ana,bare,class,NA,NA,NA,0,NA
