"","location","reef","depth","transect","photo","group","successes","failures"
"1203","west","man","dp","four","t4_15","poci",0,100
"1204","west","man","dp","four","t4_15","turf",15,85
"1205","west","man","dp","four","t4_2","abiotic",2,98
"1206","west","man","dp","four","t4_2","biotic",0,100
"1207","west","man","dp","four","t4_2","macro",4,96
"1208","west","man","dp","four","t4_2","non-reef",8,92
"1209","west","man","dp","four","t4_2","plob",85,15
"1210","west","man","dp","four","t4_2","poci",0,100
"1211","west","man","dp","four","t4_2","turf",1,99
"1212","west","man","dp","four","t4_3","abiotic",0,100
"1213","west","man","dp","four","t4_3","biotic",0,100
"1214","west","man","dp","four","t4_3","macro",4,96
"1215","west","man","dp","four","t4_3","non-reef",9,91
"1216","west","man","dp","four","t4_3","plob",87,13
"1217","west","man","dp","four","t4_3","poci",0,100
"1218","west","man","dp","four","t4_3","turf",0,100
"1219","west","man","dp","four","t4_4","abiotic",12,88
"1220","west","man","dp","four","t4_4","biotic",1,99
"1221","west","man","dp","four","t4_4","macro",27,73
"1222","west","man","dp","four","t4_4","non-reef",2,98
"1223","west","man","dp","four","t4_4","plob",35,65
"1224","west","man","dp","four","t4_4","poci",10,90
"1225","west","man","dp","four","t4_4","turf",13,87
"1226","west","man","dp","four","t4_5","abiotic",17,83
"1227","west","man","dp","four","t4_5","biotic",0,100
"1228","west","man","dp","four","t4_5","macro",26,74
"1229","west","man","dp","four","t4_5","non-reef",5,95
"1230","west","man","dp","four","t4_5","plob",9,91
"1231","west","man","dp","four","t4_5","poci",18,82
"1232","west","man","dp","four","t4_5","turf",25,75
"1233","west","man","dp","four","t4_6","abiotic",2,98
"1234","west","man","dp","four","t4_6","biotic",0,100
"1235","west","man","dp","four","t4_6","macro",29,71
"1236","west","man","dp","four","t4_6","non-reef",4,96
"1237","west","man","dp","four","t4_6","plob",57,43
"1238","west","man","dp","four","t4_6","poci",2,98
"1239","west","man","dp","four","t4_6","turf",6,94
"1240","west","man","dp","four","t4_7","abiotic",46,54
"1241","west","man","dp","four","t4_7","biotic",0,100
"1242","west","man","dp","four","t4_7","macro",10,90
"1243","west","man","dp","four","t4_7","non-reef",2,98
"1244","west","man","dp","four","t4_7","plob",13,87
"1245","west","man","dp","four","t4_7","poci",11,89
