location,reef,depth,transect,photo,group,successes,failures,coast
north,ana,sh,two,t2_7,non-reef,2,98,north
north,ana,sh,two,t2_7,plob,93,7,north
north,ana,sh,two,t2_7,poci,0,0,north
north,ana,sh,two,t2_7,turf,0,0,north
north,ana,sh,two,t2_8,abiotic,1,99,north
north,ana,sh,two,t2_8,biotic,0,100,north
north,ana,sh,two,t2_8,macro,2,98,north
north,ana,sh,two,t2_8,non-reef,5,95,north
north,ana,sh,two,t2_8,plob,89,11,north
north,ana,sh,two,t2_8,poci,0,100,north
north,ana,sh,two,t2_8,turf,3,97,north
north,ana,sh,two,t2_9,abiotic,0,100,north
north,ana,sh,two,t2_9,biotic,0,100,north
north,ana,sh,two,t2_9,macro,8,92,north
north,ana,sh,two,t2_9,non-reef,3,97,north
north,ana,sh,two,t2_9,plob,88,12,north
north,ana,sh,two,t2_9,poci,0,100,north
north,ana,sh,two,t2_9,turf,1,99,north
north,ana,sh,three,t3_1,abiotic,0,100,north
north,ana,sh,three,t3_1,biotic,0,100,north
north,ana,sh,three,t3_1,macro,1,99,north
north,ana,sh,three,t3_1,non-reef,9,91,north
north,ana,sh,three,t3_1,plob,90,10,north
north,ana,sh,three,t3_1,poci,0,100,north
north,ana,sh,three,t3_1,turf,0,100,north
north,ana,sh,three,t3_10,abiotic,0,100,north
north,ana,sh,three,t3_10,biotic,0,100,north
north,ana,sh,three,t3_10,macro,8,92,north
north,ana,sh,three,t3_10,non-reef,6,94,north
north,ana,sh,three,t3_10,plob,49,51,north
north,ana,sh,three,t3_10,poci,1,99,north
north,ana,sh,three,t3_10,turf,36,64,north
north,ana,sh,three,t3_11,abiotic,0,100,north
north,ana,sh,three,t3_11,biotic,0,100,north
north,ana,sh,three,t3_11,macro,12,88,north
north,ana,sh,three,t3_11,non-reef,7,93,north
north,ana,sh,three,t3_11,plob,25,75,north
north,ana,sh,three,t3_11,poci,1,99,north
north,ana,sh,three,t3_11,turf,55,45,north
north,ana,sh,three,t3_12,abiotic,0,100,north
north,ana,sh,three,t3_12,biotic,0,100,north
north,ana,sh,three,t3_12,macro,13,87,north
north,ana,sh,three,t3_12,non-reef,4,96,north
north,ana,sh,three,t3_12,plob,75,25,north
north,ana,sh,three,t3_12,poci,0,100,north
north,ana,sh,three,t3_12,turf,8,92,north
north,ana,sh,three,t3_13,abiotic,0,100,north
north,ana,sh,three,t3_13,biotic,0,100,north
north,ana,sh,three,t3_13,macro,6,94,north
north,ana,sh,three,t3_13,non-reef,2,98,north
north,ana,sh,three,t3_13,plob,73,27,north
north,ana,sh,three,t3_13,poci,0,100,north
north,ana,sh,three,t3_13,turf,19,81,north
north,ana,sh,three,t3_14,abiotic,0,100,north
north,ana,sh,three,t3_14,biotic,0,100,north
north,ana,sh,three,t3_14,macro,6,94,north
north,ana,sh,three,t3_14,non-reef,3,97,north
north,ana,sh,three,t3_14,plob,86,14,north
north,ana,sh,three,t3_14,poci,0,100,north
north,ana,sh,three,t3_14,turf,5,95,north
north,ana,sh,three,t3_15,abiotic,0,100,north
north,ana,sh,three,t3_15,biotic,0,100,north
north,ana,sh,three,t3_15,macro,6,94,north
north,ana,sh,three,t3_15,non-reef,9,91,north
north,ana,sh,three,t3_15,plob,81,19,north
north,ana,sh,three,t3_15,poci,0,100,north
north,ana,sh,three,t3_15,turf,4,96,north
north,ana,sh,three,t3_2,abiotic,0,100,north
north,ana,sh,three,t3_2,biotic,0,100,north
north,ana,sh,three,t3_2,macro,2,98,north
north,ana,sh,three,t3_2,non-reef,7,93,north
north,ana,sh,three,t3_2,plob,91,9,north
north,ana,sh,three,t3_2,poci,0,100,north
north,ana,sh,three,t3_2,turf,0,100,north
north,ana,sh,three,t3_3,abiotic,0,100,north
north,ana,sh,three,t3_3,biotic,0,100,north
north,ana,sh,three,t3_3,macro,4,96,north
north,ana,sh,three,t3_3,non-reef,6,94,north
north,ana,sh,three,t3_3,plob,77,23,north
north,ana,sh,three,t3_3,poci,0,100,north
north,ana,sh,three,t3_3,turf,13,87,north
north,ana,sh,three,t3_4,abiotic,0,0,north
north,ana,sh,three,t3_4,biotic,0,0,north
north,ana,sh,three,t3_4,macro,5,95,north
north,ana,sh,three,t3_4,non-reef,7,93,north
north,ana,sh,three,t3_4,plob,77,23,north
north,ana,sh,three,t3_4,poci,0,0,north
north,ana,sh,three,t3_4,turf,11,89,north
north,ana,sh,three,t3_5,abiotic,0,0,north
north,ana,sh,three,t3_5,biotic,0,0,north
north,ana,sh,three,t3_5,macro,3,97,north
north,ana,sh,three,t3_5,non-reef,5,95,north
north,ana,sh,three,t3_5,plob,84,16,north
north,ana,sh,three,t3_5,poci,1,99,north
north,ana,sh,three,t3_5,turf,7,93,north
north,ana,sh,three,t3_6,abiotic,0,0,north
north,ana,sh,three,t3_6,biotic,0,0,north
north,ana,sh,three,t3_6,macro,1,99,north
north,ana,sh,three,t3_6,non-reef,2,98,north
north,ana,sh,three,t3_6,plob,88,12,north
north,ana,sh,three,t3_6,poci,0,0,north
north,ana,sh,three,t3_6,turf,9,91,north
north,ana,sh,three,t3_7,abiotic,0,0,north
north,ana,sh,three,t3_7,biotic,1,99,north
north,ana,sh,three,t3_7,macro,2,98,north
north,ana,sh,three,t3_7,non-reef,8,92,north
north,ana,sh,three,t3_7,plob,68,32,north
north,ana,sh,three,t3_7,poci,3,97,north
north,ana,sh,three,t3_7,turf,18,82,north
north,ana,sh,three,t3_8,abiotic,0,0,north
north,ana,sh,three,t3_8,biotic,0,0,north
north,ana,sh,three,t3_8,macro,4,96,north
north,ana,sh,three,t3_8,non-reef,7,93,north
north,ana,sh,three,t3_8,plob,51,49,north
north,ana,sh,three,t3_8,poci,2,98,north
north,ana,sh,three,t3_8,turf,36,64,north
north,ana,sh,three,t3_9,abiotic,0,0,north
north,ana,sh,three,t3_9,biotic,0,0,north
north,ana,sh,three,t3_9,macro,7,93,north
north,ana,sh,three,t3_9,non-reef,8,92,north
north,ana,sh,three,t3_9,plob,80,20,north
north,ana,sh,three,t3_9,poci,0,0,north
north,ana,sh,three,t3_9,turf,5,95,north
north,ana,sh,four,t4_1,abiotic,0,0,north
north,ana,sh,four,t4_1,biotic,0,0,north
north,ana,sh,four,t4_1,macro,6,94,north
north,ana,sh,four,t4_1,non-reef,6,94,north
north,ana,sh,four,t4_1,plob,79,21,north
north,ana,sh,four,t4_1,poci,1,99,north
north,ana,sh,four,t4_1,turf,8,92,north
north,ana,sh,four,t4_10,abiotic,2,98,north
north,ana,sh,four,t4_10,biotic,0,0,north
north,ana,sh,four,t4_10,macro,4,96,north
north,ana,sh,four,t4_10,non-reef,7,93,north
north,ana,sh,four,t4_10,plob,72,28,north
north,ana,sh,four,t4_10,poci,0,0,north
north,ana,sh,four,t4_10,turf,15,85,north
north,ana,sh,four,t4_11,abiotic,66,34,north
north,ana,sh,four,t4_11,biotic,0,0,north
north,ana,sh,four,t4_11,macro,2,98,north
north,ana,sh,four,t4_11,non-reef,2,98,north
north,ana,sh,four,t4_11,plob,23,77,north
north,ana,sh,four,t4_11,poci,0,0,north
north,ana,sh,four,t4_11,turf,7,93,north
north,ana,sh,four,t4_12,abiotic,14,86,north
north,ana,sh,four,t4_12,biotic,0,0,north
north,ana,sh,four,t4_12,macro,7,93,north
north,ana,sh,four,t4_12,non-reef,7,93,north
north,ana,sh,four,t4_12,plob,43,57,north
north,ana,sh,four,t4_12,poci,0,0,north
north,ana,sh,four,t4_12,turf,29,71,north
north,ana,sh,four,t4_13,abiotic,11,89,north
north,ana,sh,four,t4_13,biotic,0,0,north
north,ana,sh,four,t4_13,macro,4,96,north
north,ana,sh,four,t4_13,non-reef,4,96,north
north,ana,sh,four,t4_13,plob,64,36,north
north,ana,sh,four,t4_13,poci,0,0,north
north,ana,sh,four,t4_13,turf,17,83,north
north,ana,sh,four,t4_14,abiotic,3,97,north
north,ana,sh,four,t4_14,biotic,0,0,north
north,ana,sh,four,t4_14,macro,3,97,north
north,ana,sh,four,t4_14,non-reef,3,97,north
north,ana,sh,four,t4_14,plob,84,16,north
north,ana,sh,four,t4_14,poci,0,0,north
north,ana,sh,four,t4_14,turf,7,93,north
north,ana,sh,four,t4_15,abiotic,0,0,north
north,ana,sh,four,t4_15,biotic,0,0,north
north,ana,sh,four,t4_15,macro,6,94,north
north,ana,sh,four,t4_15,non-reef,9,91,north
north,ana,sh,four,t4_15,plob,81,19,north
north,ana,sh,four,t4_15,poci,0,0,north
north,ana,sh,four,t4_15,turf,4,96,north
north,ana,sh,four,t4_2,abiotic,16,84,north
north,ana,sh,four,t4_2,biotic,0,0,north
north,ana,sh,four,t4_2,macro,1,99,north
north,ana,sh,four,t4_2,non-reef,3,97,north
north,ana,sh,four,t4_2,plob,75,25,north
north,ana,sh,four,t4_2,poci,5,95,north
north,ana,sh,four,t4_2,turf,0,0,north
north,ana,sh,four,t4_3,abiotic,12,88,north
north,ana,sh,four,t4_3,biotic,0,0,north
north,ana,sh,four,t4_3,macro,1,99,north
north,ana,sh,four,t4_3,non-reef,8,92,north
north,ana,sh,four,t4_3,plob,73,27,north
north,ana,sh,four,t4_3,poci,3,97,north
north,ana,sh,four,t4_3,turf,3,97,north
north,ana,sh,four,t4_4,abiotic,0,0,north
north,ana,sh,four,t4_4,biotic,0,0,north
north,ana,sh,four,t4_4,macro,0,0,north
north,ana,sh,four,t4_4,non-reef,5,95,north
north,ana,sh,four,t4_4,plob,88,12,north
north,ana,sh,four,t4_4,poci,4,96,north
north,ana,sh,four,t4_4,turf,3,97,north
north,ana,sh,four,t4_5,abiotic,0,0,north
north,ana,sh,four,t4_5,biotic,0,0,north
north,ana,sh,four,t4_5,macro,4,96,north
north,ana,sh,four,t4_5,non-reef,8,92,north
north,ana,sh,four,t4_5,plob,83,17,north
north,ana,sh,four,t4_5,poci,0,0,north
north,ana,sh,four,t4_5,turf,5,95,north
north,ana,sh,four,t4_6,abiotic,0,0,north
north,ana,sh,four,t4_6,biotic,0,0,north
north,ana,sh,four,t4_6,macro,2,98,north
north,ana,sh,four,t4_6,non-reef,2,98,north
north,ana,sh,four,t4_6,plob,92,8,north
north,ana,sh,four,t4_6,poci,0,0,north
north,ana,sh,four,t4_6,turf,4,96,north
north,ana,sh,four,t4_7,abiotic,0,0,north
north,ana,sh,four,t4_7,biotic,0,0,north
north,ana,sh,four,t4_7,macro,4,96,north
north,ana,sh,four,t4_7,non-reef,6,94,north
north,ana,sh,four,t4_7,plob,86,14,north
north,ana,sh,four,t4_7,poci,0,0,north
north,ana,sh,four,t4_7,turf,4,96,north
north,ana,sh,four,t4_8,abiotic,0,0,north
north,ana,sh,four,t4_8,biotic,0,0,north
north,ana,sh,four,t4_8,macro,11,89,north
north,ana,sh,four,t4_8,non-reef,7,93,north
north,ana,sh,four,t4_8,plob,74,26,north
north,ana,sh,four,t4_8,poci,0,0,north
north,ana,sh,four,t4_8,turf,8,92,north
north,ana,sh,four,t4_9,abiotic,0,0,north
north,ana,sh,four,t4_9,biotic,0,0,north
north,ana,sh,four,t4_9,macro,10,90,north
north,ana,sh,four,t4_9,non-reef,6,94,north
north,ana,sh,four,t4_9,plob,79,21,north
north,ana,sh,four,t4_9,poci,1,99,north
north,ana,sh,four,t4_9,turf,4,96,north
north,ana,md,one,t1_1,abiotic,0,100,north
north,ana,md,one,t1_1,biotic,0,100,north
north,ana,md,one,t1_1,macro,8,92,north
north,ana,md,one,t1_1,non-reef,27,73,north
north,ana,md,one,t1_1,plob,42,58,north
north,ana,md,one,t1_1,poci,5,95,north
north,ana,md,one,t1_1,turf,18,82,north
north,ana,md,one,t1_10,abiotic,0,100,north
north,ana,md,one,t1_10,biotic,0,100,north
north,ana,md,one,t1_10,macro,8,92,north
north,ana,md,one,t1_10,non-reef,19,81,north
north,ana,md,one,t1_10,plob,72,28,north
north,ana,md,one,t1_10,poci,0,100,north
north,ana,md,one,t1_10,turf,1,99,north
north,ana,md,one,t1_11,abiotic,0,100,north
north,ana,md,one,t1_11,biotic,0,100,north
north,ana,md,one,t1_11,macro,1,99,north
north,ana,md,one,t1_11,non-reef,28,72,north
north,ana,md,one,t1_11,plob,70,30,north
north,ana,md,one,t1_11,poci,0,100,north
north,ana,md,one,t1_11,turf,1,99,north
north,ana,md,one,t1_12,abiotic,0,100,north
north,ana,md,one,t1_12,biotic,0,100,north
north,ana,md,one,t1_12,macro,6,94,north
north,ana,md,one,t1_12,non-reef,9,91,north
north,ana,md,one,t1_12,plob,85,15,north
north,ana,md,one,t1_12,poci,0,100,north
north,ana,md,one,t1_12,turf,0,100,north
north,ana,md,one,t1_13,abiotic,0,100,north
north,ana,md,one,t1_13,biotic,0,100,north
north,ana,md,one,t1_13,macro,11,89,north
north,ana,md,one,t1_13,non-reef,13,87,north
north,ana,md,one,t1_13,plob,76,24,north
north,ana,md,one,t1_13,poci,0,100,north
north,ana,md,one,t1_13,turf,0,100,north
north,ana,md,one,t1_14,abiotic,0,100,north
north,ana,md,one,t1_14,biotic,0,100,north
north,ana,md,one,t1_14,macro,18,82,north
north,ana,md,one,t1_14,non-reef,12,88,north
north,ana,md,one,t1_14,plob,59,41,north
north,ana,md,one,t1_14,poci,0,100,north
north,ana,md,one,t1_14,turf,11,89,north
north,ana,md,one,t1_15,abiotic,0,100,north
north,ana,md,one,t1_15,biotic,0,100,north
north,ana,md,one,t1_15,macro,9,91,north
north,ana,md,one,t1_15,non-reef,16,84,north
north,ana,md,one,t1_15,plob,75,25,north
north,ana,md,one,t1_15,poci,0,100,north
north,ana,md,one,t1_15,turf,0,100,north
north,ana,md,one,t1_2,abiotic,0,100,north
north,ana,md,one,t1_2,biotic,0,100,north
north,ana,md,one,t1_2,macro,7,93,north
north,ana,md,one,t1_2,non-reef,59,41,north
north,ana,md,one,t1_2,plob,25,75,north
north,ana,md,one,t1_2,poci,7,93,north
north,ana,md,one,t1_2,turf,2,98,north
north,ana,md,one,t1_3,abiotic,0,100,north
north,ana,md,one,t1_3,biotic,0,100,north
north,ana,md,one,t1_3,macro,12,88,north
north,ana,md,one,t1_3,non-reef,23,77,north
north,ana,md,one,t1_3,plob,48,52,north
north,ana,md,one,t1_3,poci,0,100,north
north,ana,md,one,t1_3,turf,17,83,north
north,ana,md,one,t1_4,abiotic,0,100,north
north,ana,md,one,t1_4,biotic,0,100,north
north,ana,md,one,t1_4,macro,12,88,north
north,ana,md,one,t1_4,non-reef,20,80,north
north,ana,md,one,t1_4,plob,65,35,north
north,ana,md,one,t1_4,poci,0,100,north
north,ana,md,one,t1_4,turf,3,97,north
north,ana,md,one,t1_5,abiotic,0,100,north
north,ana,md,one,t1_5,biotic,0,100,north
north,ana,md,one,t1_5,macro,8,92,north
north,ana,md,one,t1_5,non-reef,23,77,north
north,ana,md,one,t1_5,plob,68,32,north
north,ana,md,one,t1_5,poci,0,100,north
north,ana,md,one,t1_5,turf,1,99,north
north,ana,md,one,t1_6,abiotic,0,100,north
north,ana,md,one,t1_6,biotic,0,100,north
north,ana,md,one,t1_6,macro,10,90,north
north,ana,md,one,t1_6,non-reef,26,74,north
north,ana,md,one,t1_6,plob,64,36,north
north,ana,md,one,t1_6,poci,0,100,north
north,ana,md,one,t1_6,turf,0,100,north
north,ana,md,one,t1_7,abiotic,0,100,north
north,ana,md,one,t1_7,biotic,0,100,north
north,ana,md,one,t1_7,macro,3,97,north
north,ana,md,one,t1_7,non-reef,15,85,north
north,ana,md,one,t1_7,plob,80,20,north
north,ana,md,one,t1_7,poci,0,100,north
north,ana,md,one,t1_7,turf,2,98,north
north,ana,md,one,t1_8,abiotic,0,100,north
north,ana,md,one,t1_8,biotic,0,100,north
north,ana,md,one,t1_8,macro,4,96,north
north,ana,md,one,t1_8,non-reef,9,91,north
north,ana,md,one,t1_8,plob,86,14,north
north,ana,md,one,t1_8,poci,0,100,north
north,ana,md,one,t1_8,turf,1,99,north
north,ana,md,one,t1_9,abiotic,0,100,north
north,ana,md,one,t1_9,biotic,0,100,north
north,ana,md,one,t1_9,macro,2,98,north
north,ana,md,one,t1_9,non-reef,21,79,north
north,ana,md,one,t1_9,plob,77,23,north
north,ana,md,one,t1_9,poci,0,100,north
north,ana,md,one,t1_9,turf,0,100,north
north,ana,md,two,t2_1,abiotic,8,92,north
north,ana,md,two,t2_1,biotic,0,100,north
north,ana,md,two,t2_1,macro,7,93,north
north,ana,md,two,t2_1,non-reef,11,89,north
north,ana,md,two,t2_1,plob,71,29,north
north,ana,md,two,t2_1,poci,0,100,north
north,ana,md,two,t2_1,turf,3,97,north
north,ana,md,two,t2_10,abiotic,0,100,north
north,ana,md,two,t2_10,biotic,0,100,north
north,ana,md,two,t2_10,macro,19,81,north
north,ana,md,two,t2_10,non-reef,11,89,north
north,ana,md,two,t2_10,plob,70,30,north
north,ana,md,two,t2_10,poci,0,100,north
north,ana,md,two,t2_10,turf,0,100,north
north,ana,md,two,t2_11,abiotic,5,95,north
north,ana,md,two,t2_11,biotic,0,100,north
north,ana,md,two,t2_11,macro,11,89,north
north,ana,md,two,t2_11,non-reef,2,98,north
north,ana,md,two,t2_11,plob,78,22,north
north,ana,md,two,t2_11,poci,3,97,north
north,ana,md,two,t2_11,turf,1,99,north
north,ana,md,two,t2_12,abiotic,1,99,north
north,ana,md,two,t2_12,biotic,0,100,north
north,ana,md,two,t2_12,macro,16,84,north
north,ana,md,two,t2_12,non-reef,9,91,north
north,ana,md,two,t2_12,plob,73,27,north
north,ana,md,two,t2_12,poci,0,100,north
north,ana,md,two,t2_12,turf,1,99,north
north,ana,md,two,t2_13,abiotic,0,100,north
north,ana,md,two,t2_13,biotic,0,100,north
north,ana,md,two,t2_13,macro,17,83,north
north,ana,md,two,t2_13,non-reef,10,90,north
north,ana,md,two,t2_13,plob,69,31,north
north,ana,md,two,t2_13,poci,1,99,north
north,ana,md,two,t2_13,turf,3,97,north
north,ana,md,two,t2_14,abiotic,0,100,north
north,ana,md,two,t2_14,biotic,0,100,north
north,ana,md,two,t2_14,macro,0,100,north
north,ana,md,two,t2_14,non-reef,2,98,north
north,ana,md,two,t2_14,plob,97,3,north
north,ana,md,two,t2_14,poci,0,100,north
north,ana,md,two,t2_14,turf,1,99,north
north,ana,md,two,t2_15,abiotic,0,100,north
north,ana,md,two,t2_15,biotic,0,100,north
north,ana,md,two,t2_15,macro,1,99,north
