plot_id,class,Site,cover,level,layer,id,percentage_inside,clumpy,pd,pland,NA
40,1,ana,coral,class,1,NA,99.99391446,0.998193787,1.000060859,0.513118874,NA
40,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
40,0,vhu,coral,class,1,NA,100.0311061,0.9920654,8.997201318,23.25287225,NA
41,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
41,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
41,0,vhu,coral,class,1,NA,100.0311061,0.988196552,15.99502457,33.10890181,NA
42,1,ana,coral,class,1,NA,99.99401546,0.998174718,1.000059849,1.903689301,NA
42,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
42,0,vhu,coral,class,1,NA,99.91145171,0.988572528,15.01329402,23.86216788,NA
43,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
43,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
43,0,vhu,coral,class,1,NA,100.0311061,0.988144835,16.9947136,32.52943873,NA
44,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
44,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
44,0,vhu,coral,class,1,NA,100.0311061,0.985739977,21.99315878,32.0704524,NA
45,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
45,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
45,0,vhu,coral,class,1,NA,99.91145171,0.984216666,26.02304296,42.01427086,NA
46,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
46,0,man,coral,class,1,NA,100.0900777,0.991854896,2.9973001,2.926287929,NA
46,0,vhu,coral,class,1,NA,99.91145171,0.987394222,20.01772535,26.71232386,NA
47,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
47,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
47,0,vhu,coral,class,1,NA,100.0311061,0.989692784,12.99595746,33.51846546,NA
48,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
48,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
48,0,vhu,coral,class,1,NA,100.0311061,0.994007954,3.998756141,2.281179268,NA
49,1,ana,coral,class,1,NA,99.99401546,0.999064343,1.000059849,1.157647534,NA
49,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
49,0,vhu,coral,class,1,NA,99.91145171,0.989791765,11.00974894,24.89282513,NA
50,1,ana,coral,class,1,NA,100.094512,0.996595116,0.999055773,0.453371274,NA
50,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
50,0,vhu,coral,class,1,NA,100.0311061,0.988779072,14.99533553,28.15918402,NA
51,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
51,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
51,0,vhu,coral,class,1,NA,100.0311061,0.987982269,16.9947136,29.27226886,NA
52,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
52,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
52,0,vhu,coral,class,1,NA,99.91145171,0.989201536,15.01329402,25.77489333,NA
53,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
53,0,man,coral,class,1,NA,99.80872838,0.996785358,1.001916382,0.821662369,NA
53,0,vhu,coral,class,1,NA,100.0311061,0.985604085,19.99378071,31.02870813,NA
54,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
54,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
54,0,vhu,coral,class,1,NA,100.0311061,0.985921536,20.99346974,45.83030112,NA
55,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
55,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
55,0,vhu,coral,class,1,NA,99.91145171,0.984927908,25.02215669,39.47678296,NA
56,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
56,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
56,0,vhu,coral,class,1,NA,99.91145171,0.984899295,24.02127042,46.32794292,NA
57,1,ana,coral,class,1,NA,99.99391446,0.998070606,1.000060859,1.311180335,NA
57,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
57,0,vhu,coral,class,1,NA,100.0311061,0.989754638,12.99595746,40.63475919,NA
58,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
58,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
58,0,vhu,coral,class,1,NA,100.0311061,0.987695033,10.99657939,23.84551471,NA
59,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
59,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
59,0,vhu,coral,class,1,NA,99.91145171,0.990854494,11.00974894,15.20283983,NA
60,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
60,0,man,coral,class,1,NA,99.94930406,0.998220425,1.000507217,3.067886928,NA
60,0,vhu,coral,class,1,NA,100.0311061,0.988055202,14.99533553,19.99928373,NA
61,1,ana,coral,class,NA,NA,NA,NA,NA,0,NA
61,0,man,coral,class,NA,NA,NA,NA,NA,0,NA
61,0,vhu,coral,class,1,NA,100.0311061,0.988518573,15.99502457,31.342578,NA
