x,y
6598.513807,19461.6272
7265.476536,19494.66537
680.3094677,19510.43059
1927.433871,19507.4477
8265.788458,19460.59865
3075.895252,19475.99283
6775.720164,19431.6798
1818.282245,19448.30844
2044.699537,19474.68399
2360.225713,19450.16558
1127.631819,19440.18827
3031.71151,19412.13509
5626.987853,19459.00449
805.7042522,19437.46369
7393.820952,19412.14236
4569.075341,19405.82715
5319.041394,19404.37919
2502.920101,19404.34805
6401.706966,19360.92844
2277.933293,19367.53506
5782.887037,19355.03174
8348.102184,19343.79162
2791.92924,19383.55624
637.6218395,19347.17647
42.84187362,19322.75061
7593.033272,19298.89512
1318.910821,19364.56277
7116.408004,19329.77373
1950.231433,19328.68623
3910.932274,19306.27847
5047.724174,19299.39565
2403.213945,19264.89964
3205.664743,19301.0614
730.4667416,19303.30881
6289.744789,19297.63847
8068.743826,19272.49278
6809.913377,19294.93023
161.0415329,19296.80869
2040.488987,19265.41738
3477.302541,19290.29174
4024.957459,19305.98802
2582.148935,19281.15411
4947.188674,19250.76976
5274.767796,19274.64295
377.1096523,19239.88563
2742.041352,19219.14195
921.7371745,19205.78353
7614.910184,19198.15194
6694.187837,19199.65004
7929.805179,19217.58009
5758.18797,19205.93889
7808.081342,19192.49411
8157.548935,19172.13531
4180.156647,19206.12497
526.5230724,19170.22185
6906.250753,19175.92296
2693.380847,19143.73703
1745.652174,19182.03412
2866.724856,19174.45806
3933.046612,19150.53701
1192.286856,19153.9008
1062.266485,19120.61335
1561.521508,19144.31419
3697.277226,19161.83036
1880.741524,19116.8255
4072.701656,19164.76578
5533.627753,19162.53735
3831.441635,19146.67997
1332.748066,19135.86381
7473.489941,19132.73429
3414.691964,19125.42448
443.0479406,19102.36129
4694.697195,19066.35727
2703.888167,19075.06692
3277.962058,19061.22281
4310.870805,19084.43305
2157.02497,19032.85046
2288.851207,19077.05794
6003.813391,19041.82031
1976.461629,19024.79021
4908.092564,19022.51595
6222.228246,19072.95647
11.46025138,19006.53181
1508.323512,19031.10417
1046.079622,19026.6431
6952.803191,18995.06294
5228.225984,19050.91464
6629.555822,19009.7935
2171.609179,18958.56831
8042.142745,18979.15711
936.7912802,18956.15128
3602.511767,18971.43716
3885.070367,18998.53345
8136.353427,19010.81036
2759.002441,18990.99505
5640.964022,19002.70012
1446.634713,18940.54111
2508.100271,18954.98956
5074.594269,18951.80438
1778.558457,18946.57524
7309.979755,18959.12943
1246.194784,18960.82437
7166.915441,18939.30529
6967.796289,18915.36643
1980.863281,18911.25793
3287.228217,18917.15151
6480.351795,18924.25436
3157.631909,18908.80029
2940.192872,18895.30891
5771.213287,18906.72961
2272.927495,18910.16932
2428.824991,18880.91691
4529.02389,18893.89962
8281.914384,18889.06195
2679.022593,18856.90229
1714.901496,18833.87811
3564.982452,18824.87895
5274.010818,18835.16403
3777.141101,18834.79234
7435.479973,18821.41305
7306.598385,18787.81995
6916.276706,18800.75691
7581.229922,18773.54965
4703.110522,18786.40791
2003.361805,18784.16634
5531.702607,18788.57597
7903.012321,18792.77501
6770.189901,18691.10467
5748.996709,18746.93035
1667.736165,18738.56047
6614.921014,18755.23419
