site,site2,depth,species,a,b,c,p,size_poci
Motu Nui,southeast,shallow,POCI,5,5,1,1.6075,29.02579970709986
Motu Nui,southeast,shallow,POCI,10,5,5,1.6075,103.67566131510607
Motu Nui,southeast,shallow,POCI,15,10,5,1.6075,219.70201347248153
Motu Nui,southeast,shallow,POCI,1,1,1,1.6075,7.621816016782292
Motu Nui,southeast,shallow,POCI,10,10,5,1.6075,194.3890360458017
Motu Nui,southeast,shallow,POCI,20,10,10,1.6075,388.77807209160335
Motu Nui,southeast,shallow,POCI,20,20,10,1.6075,760.0796233237759
Motu Nui,southeast,shallow,POCI,20,20,10,1.6075,760.0796233237759
Motu Nui,southeast,shallow,POCI,15,15,15,1.6075,770.4792458931101
Motu Nui,southeast,shallow,POCI,5,5,5,1.6075,94.16410661998572
Motu Nui,southeast,shallow,POCI,10,10,5,1.6075,194.3890360458017
Motu Nui,southeast,shallow,POCI,15,15,15,1.6075,770.4792458931101
Motu Nui,southeast,shallow,POCI,20,20,10,1.6075,760.0796233237759
Motu Nui,southeast,shallow,POCI,15,15,10,1.6075,541.1735897973207
Motu Nui,southeast,shallow,POCI,20,20,10,1.6075,760.0796233237759
Motu Nui,southeast,shallow,POCI,5,5,5,1.6075,94.16410661998572
Motu Nui,southeast,shallow,POCI,15,15,10,1.6075,541.1735897973207
Motu Nui,southeast,shallow,POCI,15,10,15,1.6075,523.6170767230452
Motu Nui,southeast,shallow,POCI,20,20,10,1.6075,760.0796233237759
Motu Nui,southeast,shallow,POCI,10,10,5,1.6075,194.3890360458017
Motu Nui,southeast,shallow,POCI,10,5,5,1.6075,103.67566131510607
Motu Nui,southeast,shallow,POCI,10,10,5,1.6075,194.3890360458017
Motu Nui,southeast,shallow,POCI,15,15,15,1.6075,770.4792458931101
Motu Nui,southeast,shallow,POCI,15,10,10,1.6075,367.22090877598976
Motu Nui,southeast,shallow,POCI,5,5,5,1.6075,94.16410661998572
Motu Nui,southeast,shallow,POCI,10,5,5,1.6075,103.67566131510607
Motu Nui,southeast,shallow,POCI,2,2,2,1.6075,19.992288948651264
Motu Nui,southeast,shallow,POCI,2,2,2,1.6075,19.992288948651264
Motu Nui,southeast,shallow,POCI,2,2,2,1.6075,19.992288948651264
Motu Nui,southeast,shallow,POCI,5,5,2,1.6075,43.80513075457671
Motu Nui,southeast,shallow,POCI,17,15,10,1.6075,553.6945959236841
Motu Nui,southeast,shallow,POCI,10,10,5,1.6075,194.3890360458017
Motu Nui,southeast,shallow,POCI,10,10,5,1.6075,194.3890360458017
Motu Nui,southeast,shallow,POCI,20,10,10,1.6075,388.77807209160335
Motu Nui,southeast,shallow,POCI,15,10,10,1.6075,367.22090877598976
Motu Nui,southeast,shallow,POCI,20,20,10,1.6075,760.0796233237759
Motu Nui,southeast,shallow,POCI,20,10,15,1.6075,541.1249305603577
Motu Nui,southeast,shallow,POCI,15,10,5,1.6075,219.70201347248153
Motu Nui,southeast,shallow,POCI,3,3,1,1.6075,15.220384884917568
Motu Nui,southeast,shallow,POCI,3,3,1,1.6075,15.220384884917568
Motu Tautara,Motu_Tautara,deep,POCI,15,14,7,1.6075,382.29132716752554
Motu Tautara,Motu_Tautara,deep,POCI,14,9,9,1.6075,301.25289132067564
Motu Tautara,Motu_Tautara,deep,POCI,7,6,4,1.6075,94.59476481300968
Motu Tautara,Motu_Tautara,deep,POCI,6,3,3,1.6075,41.518764975541366
Motu Tautara,Motu_Tautara,deep,POCI,17,12,9,1.6075,410.85073521072496
Motu Tautara,Motu_Tautara,deep,POCI,12,10,8,1.6075,293.7767270207918
Motu Tautara,Motu_Tautara,deep,POCI,27,15,13,1.6075,753.0245733570663
Motu Tautara,Motu_Tautara,deep,POCI,17,16,8,1.6075,496.3666248919306
Motu Tautara,Motu_Tautara,deep,POCI,16,14,8,1.6075,429.36164090496425
Motu Tautara,Motu_Tautara,deep,POCI,17,15,8,1.6075,466.1405644852998
Motu Tautara,Motu_Tautara,deep,POCI,18,16,16,1.6075,885.598084934572
Motu Tautara,Motu_Tautara,deep,POCI,16,12,8,1.6075,370.06852896261375
Motu Tautara,Motu_Tautara,deep,POCI,24,17,15,1.6075,927.2180826456498
Motu Tautara,Motu_Tautara,deep,POCI,10,10,5,1.6075,194.3890360458017
Motu Tautara,Motu_Tautara,deep,POCI,15,10,10,1.6075,367.22090877598976
Motu Tautara,Motu_Tautara,deep,POCI,20,20,20,1.6075,1358.9462134228897
Motu Tautara,Motu_Tautara,deep,POCI,10,10,10,1.6075,349.07805114869683
Motu Tautara,Motu_Tautara,deep,POCI,20,15,10,1.6075,573.8427063981659
Motu Tautara,Motu_Tautara,deep,POCI,10,10,5,1.6075,194.3890360458017
Motu Tautara,Motu_Tautara,deep,POCI,10,10,10,1.6075,349.07805114869683
Motu Tautara,Motu_Tautara,deep,POCI,15,15,10,1.6075,541.1735897973207
Motu Tautara,Motu_Tautara,deep,POCI,10,10,10,1.6075,349.07805114869683
Motu Tautara,Motu_Tautara,mid,POCI,17,15,12,1.6075,643.4317337945844
Motu Tautara,Motu_Tautara,mid,POCI,27,17,12,1.6075,802.2904761233417
Motu Tautara,Motu_Tautara,mid,POCI,19,17,12,1.6075,740.3557102751284
Motu Tautara,Motu_Tautara,mid,POCI,17,10,7,1.6075,286.58866028562545
Motu Tautara,Motu_Tautara,mid,POCI,17,14,8,1.6075,435.9487173183703
Motu Tautara,Motu_Tautara,mid,POCI,17,15,12,1.6075,643.4317337945844
Motu Tautara,Motu_Tautara,mid,POCI,17,12,6,1.6075,307.65991582676475
Motu Tautara,Motu_Tautara,mid,POCI,35,28,11,1.6075,1354.63966266406
Motu Tautara,Motu_Tautara,mid,POCI,25,17,9,1.6075,643.2224229488121
Motu Tautara,Motu_Tautara,mid,POCI,25,25,17,1.6075,1511.4404655337805
Motu Tautara,Motu_Tautara,mid,POCI,27,25,16,1.6075,1458.7447912340544
Motu Tautara,Motu_Tautara,mid,POCI,20,17,12,1.6075,747.5223279156215
Motu Tautara,Motu_Tautara,mid,POCI,27,24,17,1.6075,1471.5619774002353
Motu Tautara,Motu_Tautara,mid,POCI,27,20,14,1.6075,1054.860421852656
Motu Tautara,Motu_Tautara,mid,POCI,22,15,12,1.6075,674.9491326348507
Motu Tautara,Motu_Tautara,mid,POCI,15,12,7,1.6075,329.44827052227777
Motu Tautara,Motu_Tautara,mid,POCI,15,15,12,1.6075,632.0197849753341
Motu Tautara,Motu_Tautara,mid,POCI,20,15,9,1.6075,530.7389781276153
Motu Tautara,Motu_Tautara,mid,POCI,16,11,6,1.6075,277.09944963281885
Motu Tautara,Motu_Tautara,mid,POCI,27,10,11,1.6075,451.78999957812823
Motu Tautara,Motu_Tautara,mid,POCI,20,10,10,1.6075,388.77807209160335
Motu Tautara,Motu_Tautara,mid,POCI,15,10,10,1.6075,367.22090877598976
Motu Tautara,Motu_Tautara,mid,POCI,15,15,15,1.6075,770.4792458931101
Motu Tautara,Motu_Tautara,mid,POCI,25,15,10,1.6075,610.5422640458196
Motu Tautara,Motu_Tautara,mid,POCI,20,20,5,1.6075,489.5794873015819
Motu Tautara,Motu_Tautara,mid,POCI,15,15,15,1.6075,770.4792458931101
Motu Tautara,Motu_Tautara,mid,POCI,10,10,10,1.6075,349.07805114869683
Motu Tautara,Motu_Tautara,mid,POCI,10,5,5,1.6075,103.67566131510607
Motu Tautara,Motu_Tautara,mid,POCI,10,10,5,1.6075,194.3890360458017
Motu Tautara,Motu_Tautara,mid,POCI,5,3,1,1.6075,18.570820097463194
Motu Tautara,Motu_Tautara,mid,POCI,12,10,5,1.6075,203.99142599420813
Motu Tautara,Motu_Tautara,mid,POCI,15,15,10,1.6075,541.1735897973207
Motu Tautara,Motu_Tautara,mid,POCI,20,10,10,1.6075,388.77807209160335
Motu Tautara,Motu_Tautara,shallow,POCI,15,7,7,1.6075,198.58734105996066
Motu Tautara,Motu_Tautara,shallow,POCI,26,21,18,1.6075,1344.1557982909212
Motu Tautara,Motu_Tautara,shallow,POCI,17,16,12,1.6075,684.9860707223996
Motu Tautara,Motu_Tautara,shallow,POCI,17,11,11,1.6075,444.25818240488775
Motu Tautara,Motu_Tautara,shallow,POCI,20,24,12,1.6075,1048.318119980068
Motu Tautara,Motu_Tautara,shallow,POCI,19,16,10,1.6075,603.6727167608701
Motu Tautara,Motu_Tautara,shallow,POCI,33,22,11,1.6075,1042.38226301428
Motu Tautara,Motu_Tautara,shallow,POCI,15,14,8,1.6075,422.9615611628385
Motu Tautara,Motu_Tautara,shallow,POCI,27,19,9,1.6075,738.1113516520952
Motu Tautara,Motu_Tautara,shallow,POCI,22,17,8,1.6075,569.7340238518678
Motu Tautara,Motu_Tautara,shallow,POCI,28,26,9,1.6075,1020.5307014518561
Motu Tautara,Motu_Tautara,shallow,POCI,28,16,14,1.6075,855.4370943673354
Motu Tautara,Motu_Tautara,shallow,POCI,36,27,15,1.6075,1611.509339100546
Motu Tautara,Motu_Tautara,shallow,POCI,21,15,16,1.6075,848.282519219435
Motu Tautara,Motu_Tautara,shallow,POCI,33,22,14,1.6075,1221.9858113712692
Motu Tautara,Motu_Tautara,shallow,POCI,27,24,16,1.6075,1401.1966719973825
Motu Tautara,Motu_Tautara,shallow,POCI,32,22,17,1.6075,1398.8039905962428
Motu Tautara,Motu_Tautara,shallow,POCI,26,20,15,1.6075,1103.996107561742
Motu Tautara,Motu_Tautara,shallow,POCI,27,20,6,1.6075,624.7089680159694
Motu Tautara,Motu_Tautara,shallow,POCI,19,16,7,1.6075,467.66896149450304
Motu Tautara,Motu_Tautara,shallow,POCI,21,17,14,1.6075,855.6033243663085
Motu Tautara,Motu_Tautara,shallow,POCI,26,25,15,1.6075,1375.035594460012
Motu Tautara,Motu_Tautara,shallow,POCI,21,16,15,1.6075,854.6650800421263
Motu Tautara,Motu_Tautara,shallow,POCI,16,15,14,1.6075,729.2712167286645
Motu Tautara,Motu_Tautara,shallow,POCI,21,20,9,1.6075,713.072550413567
Motu Tautara,Motu_Tautara,shallow,POCI,7,24,14,1.6075,1090.8839867541285
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075,809.1997196529094
Motu Tautara,Motu_Tautara,shallow,POCI,30,20,10,1.6075,862.6041365506221
Motu Tautara,Motu_Tautara,shallow,POCI,30,30,10,1.6075,1288.1805532711523
Motu Tautara,Motu_Tautara,shallow,POCI,25,25,10,1.6075,1008.3788461480558
Motu Tautara,Motu_Tautara,shallow,POCI,22,20,25,1.6075,1679.6847351078882
Motu Tautara,Motu_Tautara,shallow,POCI,30,30,30,1.6075,3037.75973565042
Motu Tautara,Motu_Tautara,shallow,POCI,20,25,20,1.6075,1691.7400727503482
Motu Tautara,Motu_Tautara,shallow,POCI,25,30,5,1.6075,826.3987157502906
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075,809.1997196529094
Motu Tautara,Motu_Tautara,shallow,POCI,20,20,20,1.6075,1358.9462134228897
Motu Tautara,Motu_Tautara,shallow,POCI,25,20,10,1.6075,809.1997196529094
Motu Tautara,Motu_Tautara,shallow,POCI,30,20,10,1.6075,862.6041365506221
Motu Tautara,Motu_Tautara,shallow,POCI,10,10,10,1.6075,349.07805114869683
