plot_id,class,Site,cover,level,layer,id,percentage_inside,pland,NA
95,1,ana,poci,class,NA,NA,NA,0.0,NA
95,0,man,poci,class,1,NA,100.1,1.9,NA
95,0,vhu,poci,class,1,NA,100.0,24.9,NA
96,1,ana,poci,class,NA,NA,NA,0.0,NA
96,0,man,poci,class,1,NA,100.1,1.1,NA
96,0,vhu,poci,class,1,NA,99.9,39.7,NA
97,1,ana,poci,class,NA,NA,NA,0.0,NA
97,0,man,poci,class,NA,NA,NA,0.0,NA
97,0,vhu,poci,class,1,NA,100.0,31.8,NA
98,1,ana,poci,class,NA,NA,NA,0.0,NA
98,0,man,poci,class,NA,NA,NA,0.0,NA
98,0,vhu,poci,class,1,NA,100.0,34.4,NA
99,1,ana,poci,class,NA,NA,NA,0.0,NA
99,0,man,poci,class,NA,NA,NA,0.0,NA
99,0,vhu,poci,class,1,NA,99.9,15.6,NA
100,1,ana,poci,class,1,NA,100.1,2.5,NA
100,0,man,poci,class,NA,NA,NA,0.0,NA
100,0,vhu,poci,class,1,NA,100.0,22.1,NA
101,1,ana,poci,class,NA,NA,NA,0.0,NA
101,0,man,poci,class,1,NA,99.9,2.9,NA
101,0,vhu,poci,class,1,NA,100.0,37.0,NA
102,1,ana,poci,class,NA,NA,NA,0.0,NA
102,0,man,poci,class,1,NA,99.9,1.1,NA
102,0,vhu,poci,class,1,NA,99.9,29.3,NA
103,1,ana,poci,class,1,NA,100.0,0.4,NA
103,0,man,poci,class,1,NA,99.8,3.1,NA
103,0,vhu,poci,class,1,NA,100.0,36.8,NA
104,1,ana,poci,class,1,NA,100.0,0.8,NA
104,0,man,poci,class,1,NA,99.9,0.0,NA
104,0,vhu,poci,class,1,NA,100.0,28.6,NA
105,1,ana,poci,class,1,NA,100.0,1.3,NA
105,0,man,poci,class,NA,NA,NA,0.0,NA
105,0,vhu,poci,class,1,NA,100.0,38.4,NA
106,1,ana,poci,class,1,NA,99.9,1.7,NA
106,0,man,poci,class,NA,NA,NA,0.0,NA
106,0,vhu,poci,class,1,NA,99.9,28.7,NA
107,1,ana,poci,class,NA,NA,NA,0.0,NA
107,0,man,poci,class,NA,NA,NA,0.0,NA
107,0,vhu,poci,class,1,NA,100.0,25.0,NA
108,1,ana,poci,class,1,NA,100.0,1.9,NA
108,0,man,poci,class,NA,NA,NA,0.0,NA
108,0,vhu,poci,class,1,NA,100.0,7.3,NA
109,1,ana,poci,class,1,NA,99.9,2.8,NA
109,0,man,poci,class,NA,NA,NA,0.0,NA
109,0,vhu,poci,class,1,NA,99.9,15.2,NA
110,1,ana,poci,class,1,NA,100.0,0.8,NA
110,0,man,poci,class,NA,NA,NA,0.0,NA
110,0,vhu,poci,class,1,NA,100.0,24.0,NA
111,1,ana,poci,class,1,NA,100.0,4.4,NA
111,0,man,poci,class,NA,NA,NA,0.0,NA
111,0,vhu,poci,class,1,NA,100.0,34.9,NA
112,1,ana,poci,class,1,NA,99.9,2.4,NA
112,0,man,poci,class,1,NA,100.1,11.5,NA
112,0,vhu,poci,class,1,NA,99.9,21.5,NA
113,1,ana,poci,class,NA,NA,NA,0.0,NA
113,0,man,poci,class,1,NA,99.9,5.4,NA
113,0,vhu,poci,class,1,NA,100.0,24.6,NA
114,1,ana,poci,class,NA,NA,NA,0.0,NA
114,0,man,poci,class,1,NA,100.1,1.4,NA
114,0,vhu,poci,class,1,NA,100.0,38.0,NA
