layer,level,class,id,x,y
1,patch,0,109,1.3452028903081785,11.16739385950626
1,patch,0,110,1.3668069326880632,14.81354311751847
1,patch,0,111,1.3981934577940747,14.10751110040717
1,patch,0,112,1.3381278319199326,21.951709643904348
1,patch,0,113,1.3945025669779985,18.204337855203285
1,patch,0,114,1.4089908503915078,13.914671828980985
1,patch,0,115,1.38095920711368,24.752315881953624
1,patch,0,116,1.4222599186400418,21.24709933634364
1,patch,0,117,1.4408188261301023,19.04766925805651
1,patch,0,118,1.4036245400205662,21.815978552534485
1,patch,0,119,1.4215260389588793,13.747808569498504
1,patch,0,120,1.4348531267537796,24.13052381357694
1,patch,0,121,1.4948615030592072,19.807429326924208
1,patch,0,122,1.436316767302566,11.165850578881892
1,patch,0,123,1.4926905725240265,17.851541192412995
1,patch,0,124,1.479364059261215,13.592090853542135
1,patch,0,125,1.494493739359127,11.25903594981155
1,patch,0,126,1.5104742706483834,13.743029455968557
1,patch,0,127,1.5215562236728004,14.64299208412628
1,patch,0,128,1.5186321369495257,21.429428125265378
1,patch,0,129,1.538271843114459,14.357972516508788
1,patch,0,130,1.5622676310274233,11.364240796059393
1,patch,0,131,1.562731302775785,14.033678131540219
1,patch,0,132,1.5898676016890188,13.543670454187914
1,patch,0,133,1.615040962976781,18.162218832506426
1,patch,0,134,1.5533175216842512,24.066579307115894
1,patch,0,135,1.5787261706408318,20.1093010686223
1,patch,0,136,1.587344463202651,19.599344005493148
1,patch,0,137,1.5818977011473052,19.050609986172958
1,patch,0,138,1.6604497021575058,24.10662920068931
1,patch,0,139,1.6619354414095207,13.109787355410274
1,patch,0,140,1.653460651560946,16.425418570967295
1,patch,0,141,1.6714519828810208,13.731460810943195
1,patch,0,142,1.701491769501303,23.68689699143227
1,patch,0,143,1.7417513462415206,21.14650187651143
1,patch,0,144,1.7925233909338025,19.324056199571555
1,patch,0,145,1.7239875383538332,12.945206572482068
1,patch,0,146,1.7826948473787254,12.025343825294577
1,patch,0,147,1.7590707400314975,19.104308424460612
1,patch,0,148,1.7965775046446844,11.866464746171076
1,patch,0,149,1.7845820763393054,17.66129895612412
1,patch,0,150,1.784903209607328,13.08607334746929
1,patch,0,151,1.8091199788625776,18.797716875084014
1,patch,0,152,1.8393459965059942,13.79271160263792
1,patch,0,153,1.9269308320132432,11.54930979191187
1,patch,0,154,1.8696746403982742,13.9195524218355
1,patch,0,155,1.8878485141963337,16.393888792702377
1,patch,0,156,1.870937189421361,12.86641477322155
1,patch,0,157,1.8596128460119212,12.534728625855747
1,patch,0,158,1.8687430426906662,13.293059591530152
1,patch,0,159,1.8162633652222846,24.210481873451926
1,patch,0,160,1.869321662686885,14.945491184722215
1,patch,0,161,1.9003130030381796,20.795386537478503
1,patch,0,162,1.911708733843452,15.285500304291899
1,patch,0,163,1.906594129555945,20.41489136170845
1,patch,0,164,1.9777754450553453,14.08384739537693
1,patch,0,165,1.9359135675957304,17.132360742415756
1,patch,0,166,1.9338662342090958,21.378643378730338
1,patch,0,167,1.9968285066200762,14.543063214619304
1,patch,0,168,1.9305730803782089,13.796093361617903
1,patch,0,169,2.023639971013815,22.81823338864402
1,patch,0,170,2.0123291472402594,20.26251570679712
1,patch,0,171,2.0464171528500565,14.253657788468848
1,patch,0,172,2.0700928175973425,22.293250112946627
1,patch,0,173,2.095925997225726,22.53142603986467
1,patch,0,174,2.1225813284651966,15.149810103829708
1,patch,0,175,2.120913490888104,11.323650597765404
1,patch,0,176,2.170987725539965,10.98068109030763
1,patch,0,177,2.193481741544995,10.585119610619213
1,patch,0,178,2.185762773352706,15.256637119623454
1,patch,0,179,2.2217609079050584,13.459462100895623
1,patch,0,180,2.226793712564966,21.273698407129835
1,patch,0,181,2.332900645021792,13.687635368071872
1,patch,0,182,2.3129786401115706,12.496580491603401
1,patch,0,183,2.327900864181809,16.41058833672898
1,patch,0,184,2.3736865627737593,21.237325859033625
